Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
1,2,1,12,12,1.0,9.19,4.77,5.0,13.0,2,4,1.12,12.69,7.62,6.62,10.19,1,0,2,3,4,2.33,14.78,8.67,7.0,11.19,1.11,8.44,4.74,3.56,13.22,0,4,-1,-1,1,1,-1
0,1,0,7,2,1.59,13.15,7.59,7.22,12.33,0,8,1.0,8.37,4.78,3.96,12.52,1,2,2,11,15,1.07,11.56,6.11,4.93,14.04,1.59,12.26,7.3,5.15,11.89,0,1,0,0,0,0,1
-1,-2,-1,15,16,1.23,9.73,5.42,4.85,13.73,2,6,1.69,13.62,6.96,6.73,11.46,2,2,2,10,7,1.19,11.0,6.04,4.93,10.93,1.07,11.19,5.67,5.33,12.0,0,2,-1,-1,1,1,0
0,1,1,6,8,1.78,16.04,9.41,5.96,11.3,0,5,0.96,11.81,6.52,4.81,13.33,1,3,2,9,5,1.46,12.85,7.5,6.0,12.77,1.42,11.5,6.69,5.58,14.04,0,6,0,0,0,0,1
3,1,3,3,4,2.36,14.86,8.75,6.96,11.04,0,2,1.11,8.29,4.68,3.54,13.18,-3,-3,-3,19,21,1.04,10.15,5.74,4.67,11.19,2.11,15.0,8.67,5.52,11.56,0,4,0,0,0,0,1
1,0,-1,14,9,1.3,12.56,7.19,5.0,12.56,0,2,1.59,14.56,8.15,6.93,13.0,0,-1,1,15,13,1.11,12.48,6.37,4.96,13.22,1.81,14.19,8.22,7.56,11.37,0,1,-1,-1,1,1,-1
-1,-2,-2,18,21,0.78,10.11,5.67,5.48,12.56,0,2,1.67,12.59,7.44,5.48,11.22,0,2,1,3,1,2.36,16.54,9.43,8.54,11.11,0.86,9.79,5.29,3.14,11.64,0,1,-1,-1,1,1,-1
1,1,-1,9,5,1.44,12.89,7.59,6.11,12.96,0,9,1.44,11.56,6.78,5.59,13.85,-1,-1,-2,17,17,0.93,8.67,4.74,4.26,13.78,2.0,16.52,9.15,7.56,14.0,2,4,-1,-1,1,1,1
-2,-2,-2,16,11,0.96,13.04,6.78,4.48,12.96,0,6,1.96,13.15,7.44,5.85,12.37,0,2,1,6,2,1.61,13.11,7.54,7.11,12.25,1.0,8.5,4.86,4.0,12.86,0,7,-1,-1,1,1,1
0,-2,1,20,14,0.85,12.93,7.0,5.22,13.7,1,4,1.67,12.15,6.3,7.0,11.78,-1,0,1,9,21,0.96,9.56,5.63,4.63,10.22,1.04,15.59,8.19,6.89,13.3,0,2,-1,-1,1,1,-1
